learning_rate,num_leaves,min_child_samples,feature_fraction,subsample,reg_alpha,reg_lambda,candidate,cv_score,cv_rmse,cv_peak_mae,cv_day_mae
0.03,31,20,0.85,0.85,0.0,0.1,1,16.16718150092871,13.986926548618534,10.731347094528022,11.411057762619429
0.02,63,15,0.9,0.9,0.0,0.2,2,17.2932606651363,15.01614796122758,11.156395448909691,12.073067731445356
0.015,127,30,0.8,0.8,0.05,0.3,3,17.986367395571023,15.67617851248657,11.258505546668955,12.428261021682149
