regime,model,count,rmse,mae,day_mae,peak_mae
sunny,Baseline LSTM,486,75.91607207963278,47.238582611083984,47.238582611083984,40.65032958984375
sunny,Attention LSTM,486,130.79824784998078,82.237060546875,82.237060546875,78.9046630859375
sunny,Residual Hybrid,486,9.37200472984569,6.030306816101074,6.030306816101074,5.774776458740234
partly_cloudy,Baseline LSTM,55,112.9531412107472,68.7579116821289,68.7579116821289,
partly_cloudy,Attention LSTM,55,156.70969253487482,117.79096221923828,117.79096221923828,
partly_cloudy,Residual Hybrid,55,8.539057585914643,6.472923755645752,6.472923755645752,
cloudy,Baseline LSTM,2137,31.663354104770114,11.859889030456543,52.09670639038086,
cloudy,Attention LSTM,2137,32.35621740388545,9.538722038269043,43.104103088378906,
cloudy,Residual Hybrid,2137,3.5822805735971035,1.0206819772720337,5.22625732421875,
night,Baseline LSTM,2582,61.120302733625266,26.021780014038086,35.41572952270508,24.920991897583008
night,Attention LSTM,2582,97.61683704668985,42.43114471435547,59.2509651184082,38.022132873535156
night,Residual Hybrid,2582,10.635554916474629,4.727221965789795,6.943336486816406,5.513164520263672
