model,rmse,mae,r2,day_mae,peak_mae
Baseline LSTM,53.916382652764966,22.675371170043945,0.9722554087638855,40.56219482421875,29.047128677368164
Attention LSTM,83.30910357386671,33.5336799621582,0.9337598085403442,62.613365173339844,48.74648666381836
Residual Hybrid,8.343669533788026,3.3600046634674072,0.9993355870246887,6.532865524291992,5.581790924072266
