date,month,daylight_count,clear_sky_index_mean,dominant_regime,baseline_pred_mae,attention_pred_mae,hybrid_pred_mae
2021-05-27,5,14,0.7783661493313166,cloudy,30.26347541809082,25.015045166015625,0.991926136219117
2021-05-28,5,14,0.7716704796874512,cloudy,45.00778579711914,25.9084415435791,5.162568842945725
2021-05-29,5,14,0.23323660224814866,cloudy,38.02671432495117,135.91664123535156,4.504946435340122
2021-05-30,5,14,0.45743929481030815,cloudy,39.7271728515625,47.19329071044922,4.276600345400845
2021-05-31,5,14,0.5367686713670011,cloudy,63.93042755126953,66.53829956054688,5.418262766096374
2021-06-01,6,14,0.7389373733625375,cloudy,15.716073036193848,45.115699768066406,2.330559779093815
2021-06-02,6,14,0.7279866887210756,cloudy,12.831171989440918,35.6217155456543,1.1450358227444768
2021-06-03,6,14,0.7245848311612194,cloudy,14.994863510131836,27.296342849731445,1.5525594325502046
2021-06-04,6,14,0.7361359471520651,cloudy,11.334135055541992,45.42728805541992,2.117485911847562
2021-06-05,6,14,0.6732360509483737,cloudy,36.187156677246094,26.071523666381836,4.639308284166022
2021-06-06,6,14,0.6654271716140758,cloudy,43.786930084228516,34.15239715576172,3.394269773670944
2021-06-07,6,14,0.20256899314972973,cloudy,20.86578369140625,73.10417175292969,4.510161444316805
2021-06-08,6,14,0.6681260075528492,cloudy,28.62889289855957,44.75883865356445,3.6311332791375643
2021-06-09,6,14,0.7036191928669399,cloudy,19.986980438232422,27.81302833557129,3.9428512088388894
2021-06-10,6,14,0.7280415020455041,cloudy,9.726658821105957,16.45427894592285,2.127819661143198
2021-06-11,6,14,0.717254552301026,cloudy,9.853691101074219,11.26699161529541,1.704003044780187
2021-06-12,6,15,68.52477561096013,cloudy,13.119519233703613,15.10036563873291,2.243239693245257
2021-06-13,6,15,68.85400918995934,cloudy,15.04444408416748,26.900920867919922,1.1831549033840862
2021-06-14,6,15,56.2237703983282,cloudy,15.323241233825684,31.028886795043945,1.1577726667951935
2021-06-15,6,15,40.12514531493973,cloudy,18.97917938232422,18.695619583129883,4.079801933325727
2021-06-16,6,15,32.69914175161533,cloudy,27.934856414794922,25.976842880249023,3.498642304871214
2021-06-17,6,15,27.459437779108885,cloudy,17.099733352661133,31.891286849975586,1.341498956245158
2021-06-18,6,15,23.84518450565945,cloudy,44.181331634521484,41.799110412597656,5.5166378229070725
2021-06-19,6,15,21.882577745845943,cloudy,24.22007179260254,96.48844146728516,4.006642139461146
2021-06-20,6,15,20.683958864013256,cloudy,17.21891212463379,96.24811553955078,2.1545848024555543
2021-06-21,6,15,18.97617396450663,cloudy,20.6166934967041,39.14882278442383,1.0274770654391563
2021-06-22,6,15,17.996829076129696,cloudy,10.888782501220703,20.736604690551758,1.4975254344620768
2021-06-23,6,15,16.709205073100645,cloudy,13.516762733459473,13.676969528198242,2.1136325494609283
2021-06-24,6,15,16.73070257011074,cloudy,16.076539993286133,33.19142150878906,1.257079062945195
2021-06-25,6,15,16.202816573102343,cloudy,13.781760215759277,29.238506317138672,1.3724074802300437
2021-06-26,6,15,15.307911733708744,cloudy,14.4971923828125,15.365948677062988,2.783659552930732
2021-06-27,6,15,14.706181199432859,cloudy,17.1790714263916,31.219654083251953,2.9507849975354032
2021-06-28,6,15,14.202960619446893,cloudy,20.229759216308594,117.34912872314453,4.165763206171734
2021-06-29,6,15,13.765716610157098,cloudy,26.870563507080078,131.14492797851562,7.6840487820469265
2021-06-30,6,15,14.076589939727175,cloudy,27.990694046020508,135.3947296142578,4.2150760674850885
2021-07-01,7,15,14.332947920581748,cloudy,15.286969184875488,38.9167594909668,2.126735512103921
2021-07-02,7,15,14.702875117935609,cloudy,13.11851978302002,30.128297805786133,1.1876384774444373
2021-07-03,7,15,11.028946363352798,cloudy,31.387195587158203,33.66746139526367,3.0074504784746847
2021-07-04,7,15,14.780298611214398,cloudy,32.91368865966797,27.35625457763672,2.8971413277015925
2021-07-05,7,15,15.35163132329494,cloudy,14.083407402038574,35.52325439453125,1.4496578215084102
2021-07-06,7,15,15.509736531849512,cloudy,12.587102890014648,19.681283950805664,0.8734895108438337
2021-07-07,7,15,15.642011887656798,cloudy,14.467443466186523,16.89862632751465,1.6460618678665244
2021-07-08,7,15,11.67490347193309,cloudy,38.770652770996094,36.45779800415039,3.018800021368429
2021-07-09,7,15,16.965417838381786,cloudy,17.050634384155273,48.657691955566406,1.4140006242841197
2021-07-10,7,15,15.726169223112443,cloudy,37.962284088134766,40.28522491455078,5.282131087098987
2021-07-11,7,15,19.307495600032038,cloudy,18.31658935546875,16.820709228515625,3.6233504979134294
2021-07-12,7,15,21.420155131445036,cloudy,19.16260528564453,28.372011184692383,1.639833989485168
2021-07-13,7,15,17.03932695410795,cloudy,59.702659606933594,132.11744689941406,11.430975973278297
2021-07-14,7,15,27.630693860905204,cloudy,20.352935791015625,17.613744735717773,2.344245284800891
2021-07-15,7,15,35.007220527006126,cloudy,16.628421783447266,44.61054992675781,1.6307736564077329
2021-07-16,7,15,45.90055602714572,cloudy,26.23451805114746,20.21280288696289,4.763459471192312
2021-07-17,7,15,63.367909159472674,cloudy,15.62774658203125,14.656577110290527,2.4775014616987288
